Value of v is: (0.367, 0.254)
(0.7220293, -0.013234511)
(0.7359729, -0.0057824273)
(0.6703732, -0.12934557)
(0.68431675, -0.12189349)
(0.70556355, -0.13339534)
(0.7195071, -0.12594327)
(0.7300415, -0.18167666)
(0.74398506, -0.17422459)
(0.76523185, -0.18572643)
(0.7791754, -0.17827436)
(0.48682466, -0.32972565)
(0.5007682, -0.32227358)
(0.522015, -0.33377543)
(0.5359585, -0.32632336)
(0.54649293, -0.38205674)
(0.5604365, -0.37460467)
(0.5816833, -0.38610652)
(0.59562683, -0.37865445)
(0.53002715, -0.5022176)
(0.5439707, -0.4947655)
(0.5652175, -0.50626737)
(0.57916105, -0.49881527)
(0.58969545, -0.5545487)
(0.603639, -0.54709655)
(0.6248858, -0.55859846)
(0.63882935, -0.5511463)
(-0.63882935, 0.5511463)
(-0.6248858, 0.55859846)
(-0.603639, 0.54709655)
(-0.58969545, 0.5545487)
(-0.57916105, 0.49881527)
(-0.5652175, 0.50626737)
(-0.5439707, 0.4947655)
(-0.53002715, 0.5022176)
(-0.59562683, 0.37865445)
(-0.5816833, 0.38610652)
(-0.5604365, 0.37460467)
(-0.54649293, 0.38205674)
(-0.5359585, 0.32632336)
(-0.522015, 0.33377543)
(-0.5007682, 0.32227358)
(-0.48682466, 0.32972565)
(-0.7791754, 0.17827436)
(-0.76523185, 0.18572643)
(-0.74398506, 0.17422459)
(-0.7300415, 0.18167666)
(-0.7195071, 0.12594327)
(-0.70556355, 0.13339534)
(-0.68431675, 0.12189349)
(-0.6703732, 0.12934557)
(-0.7359729, 0.0057824273)
(-0.7220293, 0.013234511)
(-0.70078254, 0.0017326546)
(-0.686839, 0.009184739)
(-0.6763046, -0.046548672)
(-0.662361, -0.039096586)
(-0.64111423, -0.050598443)
(-0.6271707, -0.043146357)
(-1.3728292, 0.043146357)
(-1.3588858, 0.050598443)
(-1.3376389, 0.039096586)
(-1.3236954, 0.046548672)
(-1.3131609, -0.009184739)
(-1.2992175, -0.0017326546)
(-1.2779706, -0.013234511)
(-1.2640271, -0.0057824273)
(-1.3296268, -0.12934557)
(-1.3156834, -0.12189349)
(-1.2944365, -0.13339534)
(-1.280493, -0.12594327)
(-1.2699585, -0.18167666)
(-1.2560151, -0.17422459)
(-1.2347682, -0.18572643)
(-1.2208247, -0.17827436)
(-1.5131752, -0.32972565)
(-1.4992318, -0.32227358)
(-1.4779849, -0.33377543)
(-1.4640415, -0.32632336)
(-1.453507, -0.38205674)
(-1.4395635, -0.37460467)
(-1.4183166, -0.38610652)
(-1.4043732, -0.37865445)
(-1.4699728, -0.5022176)
(-1.4560294, -0.4947655)
(-1.4347825, -0.50626737)
(-1.4208391, -0.49881527)
(-1.4103045, -0.5545487)
(-1.3963611, -0.54709655)
(-1.3751142, -0.55859846)
(-1.3611708, -0.5511463)
(1.3595586, 0.548008)
(1.362783, 0.55428463)
(1.373502, 0.55546016)
(1.3767264, 0.56173676)
(1.3947489, 0.54395825)
(1.3979733, 0.55023485)
(1.4086924, 0.5514104)
(1.4119167, 0.557687)
(1.4192269, 0.495677)
(1.4224513, 0.50195354)
(1.4331703, 0.50312907)
(1.4363947, 0.5094057)
(1.4544172, 0.49162722)
(1.4576416, 0.49790376)
(1.4683607, 0.49907932)
(1.471585, 0.5053559)
(1.402761, 0.37551618)
(1.4059854, 0.38179272)
(1.4167044, 0.38296825)
(1.4199288, 0.3892448)
(1.4379513, 0.3714664)
(1.4411757, 0.37774295)
(1.4518948, 0.37891847)
(1.4551191, 0.38519502)
(1.4624293, 0.3231851)
(1.4656537, 0.32946163)
(1.4763727, 0.33063716)
(1.4795971, 0.3369137)
(1.4976196, 0.3191353)
(1.500844, 0.32541186)
(1.5115631, 0.32658738)
(1.5147874, 0.33286393)
(1.2192125, 0.17513607)
(1.2224369, 0.18141265)
(1.233156, 0.18258815)
(1.2363803, 0.18886472)
(1.2544029, 0.1710863)
(1.2576272, 0.17736287)
(1.2683463, 0.17853837)
(1.2715707, 0.18481494)
(1.2788808, 0.12280499)
(1.2821052, 0.12908156)
(1.2928243, 0.13025706)
(1.2960486, 0.13653363)
(1.3140712, 0.11875521)
(1.3172956, 0.12503177)
(1.3280146, 0.12620728)
(1.331239, 0.13248385)
(1.2624149, 0.002644145)
(1.2656393, 0.00892071)
(1.2763584, 0.010096229)
(1.2795827, 0.016372792)
(1.2976053, -0.0014056277)
(1.3008296, 0.004870937)
(1.3115487, 0.0060464563)
(1.3147731, 0.012323021)
(1.3220832, -0.049686953)
(1.3253076, -0.04341039)
(1.3360267, -0.042234868)
(1.339251, -0.035958305)
(1.3572736, -0.053736724)
(1.360498, -0.04746016)
(1.371217, -0.04628464)
(1.3744414, -0.040008076)
(0.62555844, 0.040008076)
(0.6287829, 0.04628464)
(0.639502, 0.04746016)
(0.6427265, 0.053736724)
(0.6607488, 0.035958305)
(0.6639733, 0.042234868)
(0.67469233, 0.04341039)
(0.6779168, 0.049686953)
(0.68522674, -0.012323021)
(0.68845123, -0.0060464563)
(0.6991703, -0.004870937)
(0.7023948, 0.0014056277)
(0.7204171, -0.016372792)
(0.7236416, -0.010096229)
(0.73436064, -0.00892071)
(0.7375851, -0.002644145)
(0.66876096, -0.13248385)
(0.67198545, -0.12620728)
(0.6827045, -0.12503177)
(0.685929, -0.11875521)
(0.7039513, -0.13653363)
(0.7071758, -0.13025706)
(0.71789485, -0.12908156)
(0.72111934, -0.12280499)
(0.72842926, -0.18481494)
(0.73165375, -0.17853837)
(0.7423728, -0.17736287)
(0.7455973, -0.1710863)
(0.7636196, -0.18886472)
(0.7668441, -0.18258815)
(0.77756315, -0.18141265)
(0.78078765, -0.17513607)
(0.48521245, -0.33286393)
(0.48843688, -0.32658738)
(0.49915597, -0.32541186)
(0.50238043, -0.3191353)
(0.5204027, -0.3369137)
(0.5236272, -0.33063716)
(0.5343463, -0.32946163)
(0.5375708, -0.3231851)
(0.5448807, -0.38519502)
(0.5481052, -0.37891847)
(0.55882424, -0.37774295)
(0.56204873, -0.3714664)
(0.58007103, -0.3892448)
(0.5832955, -0.38296825)
(0.5940146, -0.38179272)
(0.5972391, -0.37551618)
(0.5284149, -0.5053559)
(0.5316394, -0.49907932)
(0.54235846, -0.49790376)
(0.54558295, -0.49162722)
(0.56360525, -0.5094057)
(0.56682974, -0.50312907)
(0.5775488, -0.50195354)
(0.5807733, -0.495677)
(0.5880832, -0.557687)
(0.5913077, -0.5514104)
(0.60202676, -0.55023485)
(0.60525125, -0.54395825)
(0.62327355, -0.56173676)
(0.62649804, -0.55546016)
(0.6372171, -0.55428463)
(0.6404416, -0.548008)
(-0.6404416, 0.548008)
(-0.6372171, 0.55428463)
(-0.62649804, 0.55546016)
(-0.62327355, 0.56173676)
(-0.60525125, 0.54395825)
(-0.60202676, 0.55023485)
(-0.5913077, 0.5514104)
(-0.5880832, 0.557687)
(-0.5807733, 0.495677)
(-0.5775488, 0.50195354)
(-0.56682974, 0.50312907)
(-0.56360525, 0.5094057)
(-0.54558295, 0.49162722)
(-0.54235846, 0.49790376)
(-0.5316394, 0.49907932)
(-0.5284149, 0.5053559)
(-0.5972391, 0.37551618)
(-0.5940146, 0.38179272)
(-0.5832955, 0.38296825)
(-0.58007103, 0.3892448)
(-0.56204873, 0.3714664)
(-0.55882424, 0.37774295)
(-0.5481052, 0.37891847)
(-0.5448807, 0.38519502)
(-0.5375708, 0.3231851)
(-0.5343463, 0.32946163)
(-0.5236272, 0.33063716)
(-0.5204027, 0.3369137)
(-0.50238043, 0.3191353)
(-0.49915597, 0.32541186)
(-0.48843688, 0.32658738)
(-0.48521245, 0.33286393)
(-0.78078765, 0.17513607)
(-0.77756315, 0.18141265)
(-0.7668441, 0.18258815)
(-0.7636196, 0.18886472)
(-0.7455973, 0.1710863)
(-0.7423728, 0.17736287)
(-0.73165375, 0.17853837)
(-0.72842926, 0.18481494)
(-0.72111934, 0.12280499)
(-0.71789485, 0.12908156)
(-0.7071758, 0.13025706)
(-0.7039513, 0.13653363)
(-0.685929, 0.11875521)
(-0.6827045, 0.12503177)
(-0.67198545, 0.12620728)
(-0.66876096, 0.13248385)
(-0.7375851, 0.002644145)
(-0.73436064, 0.00892071)
(-0.7236416, 0.010096229)
(-0.7204171, 0.016372792)
